,depature_date,hotel_name,reg,types,room-type,Sales Person ,sales
23,2024-01-10,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,12015.0
24,2024-01-10,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,4635.0
25,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,5000.0
26,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,3287.5
27,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,3387.5
28,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Royal Suite ,Amy,13760.0
29,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,542.5
30,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,1627.5
31,2024-01-10,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,14827.5
32,2024-01-11,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,2170.0
33,2024-01-11,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,6510.0
34,2024-01-11,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,2170.0
35,2024-01-11,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,2170.0
36,2024-01-12,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,542.5
37,2024-01-12,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,4882.5
38,2024-01-12,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,1545.0
39,2024-01-12,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,1647.5
40,2024-01-12,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,5197.5
41,2024-01-12,"The Hilton, Kuala Lumpur",Central,City Hotel ,Royal Suite ,Derek,15480.0
42,2024-01-12,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,4882.5
43,2024-01-12,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,1627.5
44,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,13025.0
45,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,8240.0
46,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,2712.5
47,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,8377.5
48,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,15450.0
49,2024-01-13,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,12607.5
50,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,3870.0
51,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,12875.0
52,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,9490.0
53,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,1627.5
54,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,7725.0
55,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,20085.0
56,2024-01-13,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,7825.0
57,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,10577.5
58,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,21077.5
59,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,3125.0
60,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,15300.0
61,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,34177.5
62,2024-01-13,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,7725.0
63,2024-01-14,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,5625.0
64,2024-01-14,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,5917.5
65,2024-01-14,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,4882.5
66,2024-01-14,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,4635.0
67,2024-01-14,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,11902.5
68,2024-01-14,"Lexis Suites, Penang",North,City Hotel ,Royal Suite ,Leo,5160.0
69,2024-01-14,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,9765.0
70,2024-01-14,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,4882.5
71,2024-01-14,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,14647.5
72,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,5805.0
73,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,5625.0
74,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,5062.5
75,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,6262.5
76,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,6360.0
77,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,14647.5
78,2024-01-14,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,14647.5
79,2024-01-15,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,6250.0
80,2024-01-15,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,6180.0
81,2024-01-15,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,38310.0
82,2024-01-15,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,1545.0
83,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,15720.0
84,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,7500.0
85,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,6510.0
86,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,19770.0
87,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,36607.5
88,2024-01-15,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,15650.0
89,2024-01-15,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,657.5
90,2024-01-15,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,7500.0
91,2024-01-15,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,6575.0
92,2024-01-15,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,6180.0
93,2024-01-15,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,515.0
94,2024-01-16,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,9117.5
95,2024-01-16,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,9345.0
96,2024-01-16,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,4515.0
97,2024-01-16,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,7542.5
98,2024-01-16,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,11392.5
99,2024-01-16,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,10815.0
100,2024-01-16,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,4375.0
101,2024-01-16,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,10815.0
102,2024-01-17,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,7095.0
103,2024-01-17,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,2712.5
104,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,10620.0
105,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Royal Suite ,Derek,19910.0
106,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,5665.0
107,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,5967.5
108,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,34897.5
109,2024-01-17,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,16995.0
110,2024-01-17,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,14027.5
111,2024-01-17,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,3125.0
112,2024-01-17,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,2712.5
113,2024-01-17,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,5665.0
114,2024-01-17,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,8137.5
115,2024-01-18,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,3125.0
116,2024-01-18,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,7762.5
117,2024-01-18,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,6317.5
118,2024-01-18,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,8137.5
119,2024-01-18,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,11532.5
120,2024-01-18,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,6450.0
121,2024-01-18,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,27230.0
122,2024-01-18,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,16275.0
123,2024-01-18,"The Hilton, Kuala Lumpur",Central,City Hotel ,Royal Suite ,Derek,17200.0
124,2024-01-19,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,9030.0
125,2024-01-19,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,7210.0
126,2024-01-19,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,9205.0
127,2024-01-19,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,7875.0
128,2024-01-19,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,44695.0
129,2024-01-19,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,22785.0
130,2024-01-19,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,7595.0
131,2024-01-19,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,15190.0
132,2024-01-19,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,15085.0
133,2024-01-19,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,22785.0
134,2024-01-20,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,5260.0
135,2024-01-20,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,1315.0
136,2024-01-20,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,3255.0
137,2024-01-20,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,41195.0
138,2024-01-20,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,13020.0
139,2024-01-20,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,6670.0
140,2024-01-20,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,13235.0
141,2024-01-20,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,9290.0
142,2024-01-20,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,12360.0
143,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,3870.0
144,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,8750.0
145,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,3255.0
146,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,12400.0
147,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,9270.0
148,2024-01-20,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,13020.0
149,2024-01-21,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,2575.0
150,2024-01-21,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,3287.5
151,2024-01-21,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,6875.0
152,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,22040.0
153,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Royal Suite ,Amy,18100.0
154,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,5550.0
155,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,26360.0
156,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,54585.0
157,2024-01-22,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,32550.0
158,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,32640.0
159,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,15260.0
160,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,19250.0
161,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,8240.0
162,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,10460.0
163,2024-01-22,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,13020.0
164,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,15630.0
165,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,23730.0
166,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,9650.0
167,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,18540.0
168,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,35805.0
169,2024-01-22,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,13020.0
170,2024-01-23,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,1250.0
171,2024-01-23,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,1030.0
172,2024-01-23,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,7595.0
173,2024-01-23,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,3255.0
174,2024-01-23,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,15450.0
175,2024-01-23,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,15605.0
176,2024-01-23,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,6450.0
177,2024-01-23,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,6575.0
178,2024-01-23,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,6455.0
179,2024-01-23,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,3090.0
180,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,9205.0
181,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,8750.0
182,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,18235.0
183,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,10575.0
184,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,13695.0
185,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,41530.0
186,2024-01-23,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,24760.0
187,2024-01-24,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,515.0
188,2024-01-24,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,11392.5
189,2024-01-24,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,1627.5
190,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,5857.5
191,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,9862.5
192,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,8672.5
193,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,10815.0
194,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,1545.0
195,2024-01-24,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,1565.0
196,2024-01-24,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,13545.0
197,2024-01-24,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,3605.0
198,2024-01-24,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,4500.0
199,2024-01-24,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,4120.0
200,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,15122.5
201,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,14955.0
202,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Royal Suite ,Derek,19910.0
203,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,4120.0
204,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,8137.5
205,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,4340.0
206,2024-01-25,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,16995.0
207,2024-01-25,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,4340.0
208,2024-01-25,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,5665.0
209,2024-01-25,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,12392.5
210,2024-01-25,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,5420.0
211,2024-01-25,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,5885.0
212,2024-01-25,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,14105.0
213,2024-01-25,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,25380.0
214,2024-01-26,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,20752.5
215,2024-01-26,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,8750.0
216,2024-01-26,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,5242.5
217,2024-01-26,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,4882.5
218,2024-01-26,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,21630.0
219,2024-01-26,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,4882.5
220,2024-01-26,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,13905.0
221,2024-01-26,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,14647.5
222,2024-01-26,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,4635.0
223,2024-01-26,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,7210.0
224,2024-01-26,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,13905.0
225,2024-01-26,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Leo,14647.5
226,2024-01-27,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,7052.5
227,2024-01-27,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,1647.5
228,2024-01-27,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,657.5
229,2024-01-27,"Lexis Suites, Penang",North,City Hotel ,Royal Suite ,Derek,16290.0
230,2024-01-27,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,657.5
231,2024-01-27,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,20140.0
232,2024-01-27,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,5190.0
233,2024-01-27,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,6695.0
234,2024-01-27,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,7052.5
235,2024-01-28,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,6510.0
236,2024-01-28,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,2630.0
237,2024-01-28,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,2580.0
238,2024-01-28,"Lexis Suites, Penang",North,City Hotel ,Studio,Amy,6180.0
239,2024-01-28,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,6180.0
240,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,5160.0
241,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,5000.0
242,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Leo,20630.0
243,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Royal Suite ,Derek,19910.0
244,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,6510.0
245,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Amy,18540.0
246,2024-01-29,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Leo,4635.0
247,2024-01-29,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,1875.0
248,2024-01-29,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,5967.5
249,2024-01-29,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,15825.0
250,2024-01-29,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,7835.0
251,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,9140.0
252,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,8815.0
253,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,16907.5
254,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Royal Suite ,Derek,25340.0
255,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Royal Suite ,Leo,14480.0
256,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,4340.0
257,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,7265.0
258,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,14420.0
259,2024-01-29,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,18122.5
260,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Amy,7815.0
261,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,12890.0
262,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Royal Suite ,Amy,10860.0
263,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Royal Suite ,Leo,10320.0
264,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Amy,7210.0
265,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Derek,7210.0
266,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Single Room,Leo,7595.0
267,2024-01-30,"Le Méridien, Sabah",East,Resort Hotel ,Studio,Derek,19530.0
268,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Amy,4065.0
269,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,3945.0
270,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Leo,14667.5
271,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Single Room,Amy,3255.0
272,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,7890.0
273,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Single Room,Leo,8257.5
274,2024-01-30,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,9270.0
275,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Amy,18775.0
276,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Derek,12695.0
277,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Deluxe Room,Leo,9495.0
278,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Amy,4882.5
279,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Derek,3090.0
280,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Single Room,Leo,3090.0
281,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Amy,51517.5
282,2024-01-30,"The Hilton, Kuala Lumpur",Central,City Hotel ,Studio,Derek,23850.0
283,2024-02-01,"Lexis Suites, Penang",North,City Hotel ,Deluxe Room,Derek,4515.0
284,2024-02-01,"Lexis Suites, Penang",North,City Hotel ,Single Room,Derek,3990.0
285,2024-02-01,"Lexis Suites, Penang",North,City Hotel ,Studio,Derek,10815.0
286,2024-02-01,"Lexis Suites, Penang",North,City Hotel ,Studio,Leo,10815.0
287,2024-02-02,"Le Méridien, Sabah",East,Resort Hotel ,Deluxe Room,Derek,8125.0
